key,en
theme.environmental.name,Terroso
theme.gilded.name,Dorado
theme.inverted.name,Invertido
theme.magical.name,Mágico
theme.sunset.name,Atardecer
theme.twilight.name,Crepúsculo
action.area_press.name,Presionar Área
action.buy_many.name,Modificador de Compra Múltiple
action.fps.name,Alternar FPS
action.fullscreen.name,Pantalla Completa
action.go_to_academy.name,Ir a la Academia
action.go_to_building.name,Ir a la Construcción
action.go_to_dragon_nest.name,Ir al Nido del Dragón
action.go_to_embassy.name,Ir a la Embajada
action.go_to_forestry.name,Ir a la Silvicultura
action.go_to_observatory.name,Ir al Observatorio
action.go_to_orb.name,Ir al Orbe
action.go_to_prestige.name,Ir al Prestigio
action.go_to_relics.name,Ir al Laboratorio de Alquimia
action.go_to_runecraft.name,Ir a la Forja de Runas
action.go_to_sorcery.name,Ir a la Hechicería
action.go_to_study.name,Ir al Estudio
action.go_to_temple.name,Ir al Templo
action.go_to_wall_wizard.name,Ir al Mago de la Muralla
action.joypad_zoom_in.name,Acercar (Mando)
action.joypad_zoom_out.name,Alejar (Mando)
action.keyboard_zoom_in.name,Acercar (Teclado)
action.keyboard_zoom_out.name,Alejar (Teclado)
action.up.name,Mover Arriba
action.down.name,Mover Abajo
action.left.name,Mover a la Izquierda
action.right.name,Mover a la Derecha
blessing.academy_blessing.name,Bendición de la Investigación
blessing.academy_blessing.description,"Cuando los temas de investigación en la Academia suben de nivel, ganan {mult} nivel(es) extra"
blessing.alchemy_blessing.name,Bendición de la Alquimia
blessing.alchemy_blessing.description,"Cada vez que se crea un {magic_gold_icon}, se crea {add} {magic_gold_icon} extra(s)"
blessing.balance_blessing.name,Bendición del Equilibrio
blessing.balance_blessing.description,"El requisito de la torre que esté más lejos de cumplirse tendrá su ganancia de recursos aumentada en un {percent_increase}% - Si se cumplen todos los requisitos de la torre, o si no hay requisitos, aumenta todas las ganancias de recursos de los requisitos de la torre en un {all_increase}%."
blessing.balance_blessing_exception.description,- No se aplica a {cosmic_dust_icon}
blessing.blessing_of_carving.name,Bendición del Tallado
blessing.blessing_of_carving.description,Desbloquea la opción de comprar Tótems automáticamente.
blessing.blessing_of_compounding.name,Bendición del Interés Compuesto
blessing.blessing_of_compounding.description,Los bonos de la Bendición de la Destrucción aumentarán de forma compuesta en un {percent_increase}%
blessing.blessing_of_curses.name,Bendición de las Maldiciones
blessing.blessing_of_curses.description,"Los Chamanes aplicarán {effect} a la muralla. Al alcanzar 100 acumulaciones, inflige daño a la muralla igual a {mult} veces el daño de todos los Chamanes combinados."
blessing.blessing_of_destruction.name,Bendición de la Destrucción
blessing.blessing_of_destruction.description,La productividad de los Espíritus que no son de hechicería aumentará en un {percent_increase}% por cada orden de magnitud de daño por minuto.
blessing.blessing_of_destruction.active_description,La productividad de los Espíritus que no son de hechicería aumentará en un {percent_increase}% - Siguiente nivel a {damage} de daño por minuto.
blessing.blessing_of_diplomacy.name,Bendición de la Diplomacia
blessing.blessing_of_diplomacy.description,"Cada vez que establezcas relaciones con una nación, gana {amount} {magic_gold_icon}. - No se ve afectado por bonos de recursos."
blessing.blessing_of_effects.name,Bendición de los Efectos
blessing.blessing_of_effects.description,Cada efecto de estado en la muralla solo decaerá después de alcanzar {decay} acumulaciones
blessing.blessing_of_exploration.name,Bendición de la Exploración
blessing.blessing_of_exploration.description,Revela una nueva nación que proporcionará Acuerdos Comerciales iguales a tu población de diplomáticos cuando se establezcan relaciones.
blessing.blessing_of_few.name,Bendición de los Pocos
blessing.blessing_of_few.description,Todos los Tipos de Espíritus que no tengan la Bendición de 60 o la Bendición de la Población activa se volverán un {percent_increase}% más productivos.
blessing.blessing_of_fire.name,Bendición del Fuego
