key,en
theme.environmental.name,大地
theme.gilded.name,镀金
theme.inverted.name,反转
theme.magical.name,魔法
theme.sunset.name,日落
theme.twilight.name,暮光
action.area_press.name,区域按压
action.buy_many.name,批量购买修饰键
action.fps.name,切换帧率
action.fullscreen.name,全屏
action.go_to_academy.name,前往学院
action.go_to_building.name,前往建筑
action.go_to_dragon_nest.name,前往龙巢
action.go_to_embassy.name,前往使馆
action.go_to_forestry.name,前往林场
action.go_to_observatory.name,前往天文台
action.go_to_orb.name,前往宝珠
action.go_to_prestige.name,前往威望
action.go_to_relics.name,前往炼金实验室
action.go_to_runecraft.name,前往符文工艺
action.go_to_sorcery.name,前往巫术
action.go_to_study.name,前往书房
action.go_to_temple.name,前往神殿
action.go_to_wall_wizard.name,前往城墙巫师
action.joypad_zoom_in.name,放大（手柄）
action.joypad_zoom_out.name,缩小（手柄）
action.keyboard_zoom_in.name,放大（键盘）
action.keyboard_zoom_out.name,缩小（键盘）
action.up.name,向上移动
action.down.name,向下移动
action.left.name,向左移动
action.right.name,向右移动
blessing.academy_blessing.name,研究祝福
blessing.academy_blessing.description,当学院中的研究课题升级时，它们额外获得{mult}级
blessing.alchemy_blessing.name,炼金祝福
blessing.alchemy_blessing.description,每生成一个{magic_gold_icon}，就额外生成{add}个{magic_gold_icon}
blessing.balance_blessing.name,平衡祝福
blessing.balance_blessing.description,"距离满足最远的塔楼需求的资源获取量提高{percent_increase}%

- 如果所有塔楼需求都已满足，或者没有塔楼需求，则所有塔楼需求的资源获取量改为提高{all_increase}%。"
blessing.balance_blessing_exception.description,- 不适用于{cosmic_dust_icon}
blessing.blessing_of_carving.name,雕刻祝福
blessing.blessing_of_carving.description,解锁自动购买图腾的选项
blessing.blessing_of_compounding.name,复利祝福
blessing.blessing_of_compounding.description,毁灭祝福的加成将提高复合{percent_increase}%
blessing.blessing_of_curses.name,诅咒祝福
blessing.blessing_of_curses.description,萨满会向城墙施加{effect}。当达到100层时，对城墙造成等同于所有萨满总伤害{mult}倍的伤害。
blessing.blessing_of_destruction.name,毁灭祝福
blessing.blessing_of_destruction.description,每分钟伤害每增加一个数量级，非巫术精灵的生产力提高{percent_increase}%
blessing.blessing_of_destruction.active_description,"非巫术精灵的生产力提高{percent_increase}%

 - 下一级需要达到每分钟{damage}伤害。"
blessing.blessing_of_diplomacy.name,外交祝福
blessing.blessing_of_diplomacy.description,"每次与一个国家建立关系时，获得{amount}{magic_gold_icon}。

- 不受资源加成影响。"
blessing.blessing_of_effects.name,效果祝福
blessing.blessing_of_effects.description,城墙上的每个状态效果只有在达到{decay}层后才会衰减
blessing.blessing_of_exploration.name,探索祝福
blessing.blessing_of_exploration.description,揭示一个新国家，当建立关系时，该国家将提供等同于你外交官数量的贸易协定。
blessing.blessing_of_few.name,少数祝福
blessing.blessing_of_few.description,所有未激活“60祝福”或“人口祝福”的精灵类型，其生产力提高{percent_increase}%。
blessing.blessing_of_fire.name,火焰祝福
blessing.blessing_of_fire.description,"伊夫利特向城墙施加{effect}。每层熔融效果，城墙从龙火球受到的伤害提高{percent_increase}%。

- 同时龙的经验获取提高{exp_increase}%"
blessing.blessing_of_fire_abridged.description,伊夫利特向城墙施加{effect}。每层熔融效果，城墙从龙火球受到的伤害提高{percent_increase}%。
blessing.blessing_of_hovering.name,悬停祝福
blessing.blessing_of_hovering.description,只需将鼠标悬停在一个地方即可加速精灵，无需点击。
blessing.blessing_of_multitasking.name,多任务祝福
blessing.blessing_of_multitasking.description,精灵贤者将同时研究学院中的所有课题。
blessing.blessing_of_n.name,60祝福
blessing.blessing_of_n.description,"人口达到{threshold}或以上的精灵，其生产力提高{percent_increase}%。

- “生产力”指该精灵类型的主要功能得到提升。"
blessing.blessing_of_population.name,人口祝福
